key,plate_text
roboflow_traffic_camera_001028#123_190_135_104,30F49056
roboflow_traffic_camera_001105#42_177_235_163,29H06737
roboflow_traffic_camera_001128#153_168_107_88,29H07716
roboflow_traffic_camera_001226#151_269_96_81,89A12433
roboflow_traffic_camera_001253#110_88_134_113,89A15939
roboflow_traffic_camera_001275#121_169_148_71,29V1910
roboflow_traffic_camera_001279#169_252_180_119,29V1910
roboflow_traffic_camera_001292#144_117_187_120,29V1910
roboflow_traffic_camera_001294#110_97_182_118,29V1910
roboflow_traffic_camera_001295#139_128_184_124,29V1910
roboflow_traffic_camera_001302#85_72_198_149,29V1910
roboflow_traffic_camera_001356#47_178_335_185,34C22496
roboflow_traffic_camera_001357#42_166_335_180,34C22496
roboflow_traffic_camera_001602#70_145_280_113,29A46319
roboflow_traffic_camera_001636#122_184_148_132,30E54515
roboflow_traffic_camera_001813#98_136_236_178,29A92839
roboflow_traffic_camera_001859#129_237_143_51,30G03916
roboflow_traffic_camera_001895#95_173_183_123,29E00010
roboflow_traffic_camera_001993#103_359_173_67,30Z1040
roboflow_traffic_camera_002138#183_236_79_92,34A31506
roboflow_traffic_camera_002139#171_210_79_94,34A31506
roboflow_traffic_camera_002140#162_212_80_91,34A31506
roboflow_traffic_camera_002243#156_187_72_62,30F50167
roboflow_traffic_camera_002304#156_235_84_65,30F56330
roboflow_traffic_camera_002446#135_150_103_72,30F78286
roboflow_traffic_camera_002473#162_228_108_83,30A82771
roboflow_traffic_camera_002562#36_246_153_102,89A07379
roboflow_traffic_camera_002583#157_172_67_67,VT1A16
roboflow_traffic_camera_002587#625_301_147_83,PK5346
roboflow_traffic_camera_002589#659_319_146_85,PK5346
roboflow_traffic_camera_002623#44_155_45_56,QC1021
roboflow_traffic_camera_002636#371_270_57_42,80A06889
roboflow_traffic_camera_002667#674_239_222_191,77C131284
roboflow_traffic_camera_002724#699_307_241_219,59T208789
roboflow_traffic_camera_002885#604_312_212_177,59G107463
roboflow_traffic_camera_002989#702_363_223_206,59P169646
roboflow_traffic_camera_003075#822_367_217_191,54S73397
roboflow_traffic_camera_003100#897_367_238_210,84E130513
roboflow_traffic_camera_003106#850_493_235_208,59K196266
roboflow_traffic_camera_003126#757_449_243_221,54S42413
roboflow_traffic_camera_003145#723_111_221_192,52Z20513
roboflow_traffic_camera_003160#924_704_279_245,59M224225
roboflow_traffic_camera_003164#633_92_228_209,59L210803
roboflow_traffic_camera_003169#538_226_234_195,52Z20513
roboflow_traffic_camera_003187#706_306_228_203,60F174968
roboflow_traffic_camera_003199#448_277_210_171,59E105457
roboflow_traffic_camera_003206#775_539_257_233,66B189012
roboflow_traffic_camera_003237#725_189_247_213,59Z125977
roboflow_traffic_camera_003241#670_247_252_221,59XB73021
roboflow_traffic_camera_003246#722_336_245_211,54S43871
roboflow_traffic_camera_003260#718_417_245_216,61C216599
roboflow_traffic_camera_003261#626_256_243_213,76C184799
roboflow_traffic_camera_003290#660_269_210_191,59F228796
roboflow_traffic_camera_003316#541_124_218_183,69N165835
roboflow_traffic_camera_003321#1300_0_418_56,KHONG_DOC_DUOC
roboflow_traffic_camera_003335#774_355_253_231,59N350685
roboflow_traffic_camera_003363#707_451_255_232,59XB50621
roboflow_traffic_camera_003396#758_425_222_205,79C156750
roboflow_traffic_camera_003400#798_441_228_213,59E214007
roboflow_traffic_camera_003463#891_504_299_253,77H57340
roboflow_traffic_camera_003484#784_492_252_228,79C137521
roboflow_traffic_camera_003502#673_334_242_213,54R52638
roboflow_traffic_camera_003509#680_513_238_215,59T177356
roboflow_traffic_camera_003556#913_510_218_200,72AC21299
roboflow_traffic_camera_003559#1001_530_219_215,72AC21299
roboflow_traffic_camera_003578#809_464_260_242,59M258510
roboflow_traffic_camera_003611#946_586_203_179,54S73397
roboflow_traffic_camera_003620#783_520_253_228,73H153680
roboflow_traffic_camera_003622#738_541_254_231,73H153680
roboflow_traffic_camera_003651#709_559_217_179,59E211564
roboflow_traffic_camera_003731#601_260_236_185,69AF07732
roboflow_traffic_camera_003752#776_407_252_230,68B125158
roboflow_traffic_camera_003758#762_653_213_177,47B209890
roboflow_traffic_camera_003759#776_656_212_184,47B209890
roboflow_traffic_camera_003779#710_427_250_215,77L177051
