error_class,line_count,ground_truth,prediction,substitutions,deleted,inserted,error_positions,confidence,image_path
mixed,2,37M107918,37L07918,1>L,M,,2 3,0.9261,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/12xemay25_jpg.rf.8e15dee8d406d3b1ed634748074dcf0b.jpg
substitution,2,59M116054,59M176054,1>7,,,4,0.9569,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/12xemay408_jpg.rf.9a7a4ed31bc9acc9f824bee4d97b4d46.jpg
substitution,2,59Y164831,59Y104831,6>0,,,4,0.9504,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/12xemay488_jpg.rf.fb2360d3673fa3e1ca3a6ff3d220b23c.jpg
mixed,2,52Z8327,52T81327,Z>T,,1,2,0.9687,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/12xemay976_jpg.rf.9234a68b0a989c195deb4f156b3e2f9f.jpg
substitution,2,54F44078,51F14078,4>1 4>1,,,1 3,0.9121,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/13xemay1263_jpg.rf.0d5aa80ad53aa943f2c107fbddb65ad9.jpg
substitution,2,54T16084,54T16U84,0>U,,,5,0.8983,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/13xemay405_jpg.rf.9f1c32df100ff9dbf43758e50a72def3.jpg
substitution,2,60B193113,60D193113,B>D,,,2,0.9283,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/13xemay732_jpg.rf.70e6552441ddc04eb61c5a500d94860a.jpg
substitution,2,67B169660,67R169660,B>R,,,2,0.9576,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1037_jpg.rf.71b9fd14561e8eaba00ea603f522bd2d.jpg
missing_chars,2,59S221969,21969,,59S2,,0 1 2 3,0.9980,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1045_jpg.rf.9b464a6eb3a8706fc09d435bd70be2b8.jpg
substitution,2,59V244588,59VZ44588,2>Z,,,3,0.9992,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1088_jpg.rf.1c9436f94cdc15623dee77cb04dff628.jpg
substitution,2,54N46324,51N16324,4>1 4>1,,,1 3,0.9365,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1092_jpg.rf.68c8c20a19d54fc2334b8205af9b188e.jpg
substitution,2,16F26303,16S26303,F>S,,,2,0.9557,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1095_jpg.rf.a146a8df02843eb944f3fdc25ace8dac.jpg
missing_chars,2,54L18811,8811,,54L1,,0 1 2 3,0.9992,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1125_jpg.rf.bb7245ca28998e0d3d909a5c611241ce.jpg
substitution,2,54K34770,51K34770,4>1,,,1,0.9734,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1236_jpg.rf.b9eeccba16195b35e55b149657d8e8ab.jpg
substitution,2,54F39952,54S29952,F>S 3>2,,,2 3,0.8336,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1280_jpg.rf.c6fcb401b941199a9ef04f00b124b8c8.jpg
substitution,2,59M197580,59H197580,M>H,,,2,0.9608,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1364_jpg.rf.86d80ed072b849316b209a3061c4e5b0.jpg
substitution,2,47K29950,17K29950,4>1,,,0,0.9893,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1453_jpg.rf.a439b4390da82bf4881978021b220a66.jpg
substitution,2,54P48871,51P18871,4>1 4>1,,,1 3,0.9268,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1541_jpg.rf.52db42f0172147d82757f1848ad8ae4b.jpg
substitution,2,59S208418,59S208419,8>9,,,8,0.9495,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1543_jpg.rf.60ddb2482db07c7c716b983d6c7d0e40.jpg
substitution,2,59H146828,F2H146828,5>F 9>2,,,0 1,0.8722,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1544_jpg.rf.be1e500a5196668e4d46cd706823a25c.jpg
substitution,2,59L160778,50L160778,9>0,,,1,0.8992,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1681_jpg.rf.88b9fbd272705e651a1d1fc836c69f3b.jpg
mixed,2,59U184900,5011184900,9>1 U>1,,0,1 2,0.9438,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1690_jpg.rf.9a50b842fee9f255532bbbc4bdaf5ed3.jpg
substitution,2,64K104343,61K104343,4>1,,,1,0.9436,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1709_jpg.rf.64cee76e811a31f32e18a23e627d4029.jpg
substitution,2,54S92073,54S02073,9>0,,,3,0.8794,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1715_jpg.rf.7efdc8a21b990ac01d85bd9636c152ea.jpg
mixed,2,59K140650,59A0650,4>A,K1,,2 3 4,0.9970,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1787_jpg.rf.b189e4ada6a46c5a732128beb4d6a292.jpg
mixed,2,59E103640,COWC036L0J90EL9,5>C 9>O E>W 1>C 4>9,,L0JEL9,0 1 2 3 7,0.6500,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1921_jpg.rf.ca4e751c346d58a31d887efd285c72ef.jpg
substitution,2,59T164831,50T104831,9>0 6>0,,,1 4,0.8462,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2172_jpg.rf.8c3153dacaca207cc0c3e96e396bcb70.jpg
mixed,2,51S25013,15Z5013,S>5 2>Z,5,,0 2 3,0.9978,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2195_jpg.rf.b123bc5eaabf981d4c3bac5cacf84cfb.jpg
substitution,2,53K107625,02G251931,5>0 3>2 K>G 1>2 0>5 7>1 6>9 2>3 5>1,,,0 1 2 3 4 5 6 7 8,0.7646,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2258_jpg.rf.5c4815f2e503a0788fa466ad60e727e8.jpg
substitution,2,59P115042,59F115042,P>F,,,2,0.9887,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2268_jpg.rf.fa125ee2d1ec16813986ec93181fae77.jpg
substitution,2,51U83423,51D83423,U>D,,,2,0.9855,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2316_jpg.rf.95a2250ec04c84ed5d28278ef9850318.jpg
missing_chars,2,64D113241,64D13241,,1,,3,0.8799,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay233_jpg.rf.bc9c976c8d17888a260308c15ea28e1d.jpg
substitution,2,59E153127,59F153127,E>F,,,2,0.9505,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2359_jpg.rf.196aa7358990faf6d8b66ec2813a042f.jpg
mixed,2,59U170392,5911170392,U>1,,1,2,0.9605,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2373_jpg.rf.51b7f460e8142ba5e9b153a024d7705f.jpg
mixed,2,54P72138,5PT2138,7>T,4,,1 3,0.9303,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2375_jpg.rf.f5a6eea2a92f6359e3061b95096ad237.jpg
substitution,2,36F42678,36EL2678,F>E 4>L,,,2 3,0.8949,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay2449_jpg.rf.02c90270070cc817db0d039d2a16d9b2.jpg
missing_chars,2,72E101515,01515,,72E1,,0 1 2 3,0.9968,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay319_jpg.rf.9e30a9004c0792859a8e05dcf332fe79.jpg
substitution,2,34K23664,31K23664,4>1,,,1,0.8771,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay415_jpg.rf.4e16dffa154e877d1c2fa5c17de3846d.jpg
mixed,2,59K102625,50D2625,1>0 0>D,9K,,1 2 3 4,0.9813,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay565_jpg.rf.a8bc94316667ce2c91c0863a8e9a2a01.jpg
substitution,2,59E156347,59F156347,E>F,,,2,0.9646,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay573_jpg.rf.0652ba70eb7fbb1956999613b41c2ccc.jpg
mixed,2,51U83423,51L183423,U>1,,L,2,0.9835,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay617_jpg.rf.6b3910d91df985f923a919cf86a62855.jpg
missing_chars,2,59D143820,59D43820,,1,,3,0.9366,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay619_jpg.rf.b4912ddc2474841d3f5a5fbee38e7adb.jpg
substitution,2,59E129565,59F129565,E>F,,,2,0.9924,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay645_jpg.rf.f5e4a001f310360159d9908c45fdd765.jpg
substitution,2,54Z73400,54T73400,Z>T,,,2,0.9895,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay667_jpg.rf.4e4eff0a1304f39f514677bbcac55f1d.jpg
substitution,2,60Z77813,60T77813,Z>T,,,2,0.9976,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay763_jpg.rf.d3f5dd6abdad62660808e7935c5527c9.jpg
substitution,2,59F131316,59S131316,F>S,,,2,0.9422,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay776_jpg.rf.75b8e01ab37d607d9c628e13a0b9b200.jpg
substitution,2,54Y99149,51Y99149,4>1,,,1,0.9236,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay779_jpg.rf.7a87e6ed4f4866a855e4b96aff6d5812.jpg
mixed,2,54P76117,54L7617,P>L,1,,2 5,0.9787,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay785_jpg.rf.e355c49c5f4bd57ac6dad036c5e8e548.jpg
substitution,2,95E117763,95F117763,E>F,,,2,0.9769,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay807_jpg.rf.5d1f7b1c82ca6d9178d7f90a24a3f99e.jpg
missing_chars,2,52T56177,52T5177,,6,,4,0.8049,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay879_jpg.rf.29e4a521d1e367069186ac499ab83278.jpg
mixed,2,59U178039,5911178039,U>1,,1,2,0.9799,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay915_jpg.rf.96bbcf5921e6dc0d2681049c7096d1ee.jpg
substitution,2,59V155321,59V155320,1>0,,,8,0.9534,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1266_jpg.rf.c53ddce47831457581b6183cf5cfbd3b.jpg
substitution,2,70K105963,70X105963,K>X,,,2,0.9721,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1271_jpg.rf.2691234730b348df7fc3f7728fd07056.jpg
substitution,2,54L53913,54L59913,3>9,,,4,0.9828,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1290_jpg.rf.a1aeddcff0997dab794d3c6738d1e732.jpg
substitution,2,59V256589,59V246589,5>4,,,4,0.9549,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1342_jpg.rf.598d1046e1c2e158a6f316f329ebf4f6.jpg
mixed,2,47C105644,4CL05644,1>L,7,,1 3,0.8311,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1416_jpg.rf.4150a3e724d194513ddae45f34c9eabc.jpg
substitution,2,59L211547,59L211347,5>3,,,6,0.9798,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1432_jpg.rf.a1869b764877cf715b61289b95649457.jpg
substitution,2,59S131886,59S131386,8>3,,,6,0.9747,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay149_jpg.rf.6924a8358c1047ad508fb51961806a55.jpg
missing_chars,2,59C232477,59C23277,,4,,6,0.9260,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1585_jpg.rf.cdc8ba42abac5681f752e963dd71e695.jpg
missing_chars,2,59C221098,59C21098,,2,,3,0.9860,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1764_jpg.rf.1e86c3f161dfaa93e0d3275a2f077e04.jpg
substitution,2,59E164239,59F164239,E>F,,,2,0.9551,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1789_jpg.rf.85341c3f396d53b5c052f480c31bb39c.jpg
substitution,2,59C139780,59C1397PC,8>P 0>C,,,7 8,0.8311,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1794_jpg.rf.57fb2b2eca6180ebee3e5718b4fb8222.jpg
substitution,2,59U135226,59L135226,U>L,,,2,0.9401,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay183_jpg.rf.b127d711e64a19ba8deb3f1ed75d35fe.jpg
substitution,2,50B628032,60R628032,5>6 B>R,,,0 2,0.9091,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1872_jpg.rf.d2496e5d45389ceb29dab79e234bb315.jpg
substitution,2,59E112903,59F112903,E>F,,,2,0.9998,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1877_jpg.rf.539f693b829ac44d2f40baf3f8f7da97.jpg
mixed,2,59X160210,50602105911,1>0,9X,5911,1 2 3,0.8290,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1888_jpg.rf.492161a4b2df8bd2f78cbd30b29f6054.jpg
substitution,2,59L229477,54L229477,9>4,,,1,0.9666,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1903_jpg.rf.01ec6139de3afef909e3c91f67d9d3fd.jpg
missing_chars,2,72F120741,20741,,72F1,,0 1 2 3,0.9979,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1906_jpg.rf.bacb342a35818b08c665fe19713cc219.jpg
substitution,2,59X281467,59Y781467,X>Y 2>7,,,2 3,0.9370,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1912_jpg.rf.eb35ff2e54e11607f9800956ae8ae7ee.jpg
substitution,2,54S89169,51S89169,4>1,,,1,0.8740,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1915_jpg.rf.f4992d4617e6f423aeffb5231f907c24.jpg
mixed,2,37H107918,37L07918,1>L,H,,2 3,0.9671,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1918_jpg.rf.a009b33ebfc24a0bc55b2f2bdfbe6d41.jpg
mixed,2,59C224729,59Z4729,2>Z,C2,,2 3 4,0.9616,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1924_jpg.rf.4749346bc6730ae73753bf07562b08dc.jpg
mixed,2,59M121704,59Z1704,2>Z,M1,,2 3 4,0.9888,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1933_jpg.rf.866b998f8c4528c451d4dff55ad0dfe1.jpg
substitution,2,59Y160811,59L160811,Y>L,,,2,0.9852,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1945_jpg.rf.364d582a5a34b68c1a72be6f40311c84.jpg
substitution,2,50Y38211,54Y38211,0>4,,,1,0.9981,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1949_jpg.rf.37431d168beea82f8748975dd55bc0a9.jpg
substitution,2,59P187149,59D187149,P>D,,,2,0.9231,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1950_jpg.rf.4fc3f21efb9d88c17ef5f70b2115e47e.jpg
substitution,2,59P189739,C0D189739,5>C 9>0 P>D,,,0 1 2,0.8240,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1969_jpg.rf.c7fef9e5c3dc849913d9455ab8d0f977.jpg
mixed,2,59Y160811,50G0811,1>0 6>G,9Y,,1 2 3 4,0.9979,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1980_jpg.rf.4e516bfed134772c7ecbf6e80e551f66.jpg
mixed,2,59E113417,50C13417,E>0 1>C,9,,1 2 3,0.8918,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay1985_jpg.rf.a7a25338c8fa78c4ab4994782c2d2ce9.jpg
mixed,2,54P11482,5PL1782,1>L 4>7,4,,1 3 5,0.9541,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2009_jpg.rf.358f742ba49794746c901f7b2dd598fb.jpg
mixed,2,59F131469,55L31469,F>5 1>L,9,,1 2 3,0.9031,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2013_jpg.rf.8ac5fe047bd39871d4c4c95e480cdca4.jpg
substitution,2,51T42133,51L12133,T>L 4>1,,,2 3,0.8543,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2034_jpg.rf.b4e131ace303fbc12ae90673827204a4.jpg
substitution,2,59X256462,59Y256462,X>Y,,,2,0.9499,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2057_jpg.rf.3a7f3c4ba9de6f5dd61f8cf575d53f3f.jpg
mixed,2,59U145476,5911145476,U>1,,1,2,0.9596,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2061_jpg.rf.ad412e1676b65d2c4011d6cbfa67ffd9.jpg
substitution,2,54X95114,54Y95114,X>Y,,,2,0.9856,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2068_jpg.rf.72b400e4bc40bda0dda81e5ae04e1fca.jpg
mixed,2,59U145781,10A5781,U>1 1>0 4>A,59,,0 1 2 3 4,0.8940,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2075_jpg.rf.886235e20fb72975d15462cfc1b7acb3.jpg
mixed,2,54T16084,6U84,0>U,54T1,,0 1 2 3 5,0.8587,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2081_jpg.rf.7bd34c672a2fb3fb54c31c21265cde60.jpg
substitution,2,59E168785,59F168785,E>F,,,2,0.9618,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2086_jpg.rf.c4bb8c77cdd1910eb7ffa9284716f6b8.jpg
mixed,2,59M156378,50L56378,M>0 1>L,9,,1 2 3,0.9067,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2108_jpg.rf.4f96905c732e4a43047f6468525211ed.jpg
substitution,2,59P224979,59P724379,2>7 9>3,,,3 6,0.9601,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2130_jpg.rf.e040c5a492055ff439c825ff585d756b.jpg
missing_chars,2,59L194176,59L94176,,1,,3,0.9430,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2137_jpg.rf.7c36163db29a7b62677bea8961661931.jpg
substitution,2,59X145128,59X115128,4>1,,,4,0.9196,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2149_jpg.rf.173df8f3bd7b1512d8a86fd48277fa60.jpg
substitution,2,59E134192,59F134192,E>F,,,2,0.9372,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2164_jpg.rf.149bdfb633a0790e0b75d425487d360b.jpg
mixed,2,59C113183,13L831971,9>1 C>3 1>L 1>8 8>7 3>1,5,9,0 1 2 3 4 7 8,0.7785,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2166_jpg.rf.486b06b2bd2285b689dd85e932f949f9.jpg
substitution,2,49B120807,49R120807,B>R,,,2,0.9281,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2170_jpg.rf.c755843db868a7d2c65a06cc67c24578.jpg
substitution,2,72X18179,72Y18179,X>Y,,,2,0.9997,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2180_jpg.rf.8caa6ab4ed2b854769c1b66bab150d7c.jpg
substitution,2,50N107428,50M107428,N>M,,,2,0.9994,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2220_jpg.rf.dd4f4bb5171d2da73b8178ff22c2d21c.jpg
mixed,2,55P62004,55P6200L35P6,4>6,,L35P,7,0.7648,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2221_jpg.rf.482ad2ed19dd4ace0960ab817dfa0bc3.jpg
substitution,2,64K47483,64KL7483,4>L,,,3,0.9008,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2225_jpg.rf.f036d6862d9095534200902764bd3581.jpg
substitution,2,51V44579,51VL4579,4>L,,,3,0.9593,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2226_jpg.rf.7cda906f08c10d63a51e53ae0726beeb.jpg
mixed,2,54P72138,51BP72138,4>B,,1,1,0.7447,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2228_jpg.rf.ba0fa31c78badfcafc91b36482f93c03.jpg
substitution,2,60X94808,60Y94808,X>Y,,,2,0.8583,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2231_jpg.rf.66754fef1fe7a761522cc11ddc22c69e.jpg
mixed,2,59E156347,59S6347,5>S,E1,,2 3 4,0.9706,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2267_jpg.rf.c1acecc2d75ea50cfef1becadee2fc8c.jpg
substitution,2,59S244712,59S244717,2>7,,,8,0.9202,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2279_jpg.rf.7909b7650114e9cc7ae26ef5ac9cf086.jpg
mixed,2,59U139997,59L39997,1>L,U,,2 3,0.9340,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2310_jpg.rf.b85de86654255fd17bba2eeb51b157e9.jpg
substitution,2,59NZ43756,59N743756,Z>7,,,3,0.9915,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2312_jpg.rf.18ae5937755b34034201b59657c7687a.jpg
substitution,2,54S85489,51S85489,4>1,,,1,0.8877,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2321_jpg.rf.6047a48b62f5dae8c9bef46de071f64a.jpg
mixed,2,59B122119,E59R122119,B>R,,E,2,0.8944,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2330_jpg.rf.98dab76c9673c50e2898175f37293f58.jpg
substitution,2,59E117936,59F117936,E>F,,,2,0.9204,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2354_jpg.rf.5fc2619b4e1e79f5070ede8c6582a6d2.jpg
substitution,2,59V208347,59V208341,7>1,,,8,0.9360,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2358_jpg.rf.d652d982ae9310c0bcb4f164ce2b26be.jpg
substitution,2,63B963040,639063040,B>9 9>0,,,2 3,0.8521,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2366_jpg.rf.a9fc6ff7d92058b90a8e043692e30fc4.jpg
substitution,2,59S174613,59S174513,6>5,,,6,0.9582,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay236_jpg.rf.09299c10a91f3597a5b7cfc06523c4c2.jpg
missing_chars,2,59L145900,59L45900,,1,,3,0.9899,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2387_jpg.rf.44fc6cee3fbef164e33bff219a0178b3.jpg
substitution,2,54F72138,51P72138,4>1 F>P,,,1 2,0.8224,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2401_jpg.rf.5d6c908870463616b585a3330c928126.jpg
empty_read,2,62H27327,,,62H27327,,0 1 2 3 4 5 6 7,0.0000,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2407_jpg.rf.fc9749d4f861e1d94367e106d39baa29.jpg
substitution,2,54P83069,51D03069,4>1 P>D 8>0,,,1 2 3,0.8553,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2420_jpg.rf.01d021ae4af542e92be27f1cd8090271.jpg
substitution,2,54K16483,51K16483,4>1,,,1,0.8183,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2444_jpg.rf.031e31ba4d0e9bede6be53e64caf3e73.jpg
substitution,2,63B957926,63R957926,B>R,,,2,0.9673,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2479_jpg.rf.8e81a6ea755a3eb60d4bb0c6e74693b5.jpg
missing_chars,2,51L73998,3998,,51L7,,0 1 2 3,0.9989,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2487_jpg.rf.1ae0d7e9dd21305d28013e6c185aadde.jpg
extra_chars,2,59C15610,59C153610,,,3,,0.9081,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2489_jpg.rf.b99a00a1c7a5ecce27628f7171185ca5.jpg
mixed,2,59C105899,59D05899,1>D,C,,2 3,0.9691,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay273_jpg.rf.78387d94076c65d0d7b2282fee048942.jpg
mixed,2,59U179751,5901179751,U>1,,0,2,0.9135,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay279_jpg.rf.946d9b3f75a05ec893bb2f9e5bd46033.jpg
mixed,2,72K59221,77K5921,2>7,2,,1 5,0.9077,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay303_jpg.rf.56972d65b7806b4a1bd227cddd562519.jpg
substitution,2,51T42133,51T12133,4>1,,,3,0.9221,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay363_jpg.rf.8db9b74d7d8de16986093db83245d4e6.jpg
substitution,2,72L86035,77L86035,2>7,,,1,0.9599,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay386_jpg.rf.5a1b157004a64f90b36d75c25a738465.jpg
